NOME,INTERNO ASSINAR,EXTERNO ASSINAR
APOSTILAMENTO,S,S
ARQUIVO PROECM,N,N
ASSINATURA TESTEMUNHA,S,S
ATA APRESENTAÇÃO RELATÓRIO DE GESTÃO DO ANO ANTERIOR EXIGÍVEL EMITIDA PELO CMS OU DOCUMENTO AFIM,N,N
ATESTADO CADASTRO / ASSISTÊNCIA SOCIAL/SEDESE DENTRO DO PRAZO DE VALIDADE,N,N
ATESTADO CADASTRO ENTIDADE ESPORTIVA / AMADOR / SEEJ DENTRO DO PRAZO DE VALIDADE,N,N
ATESTADO DE FUNCIONAMENTO,N,N
ATESTADO QUE COMPROVE O FUNCIONAMENTO DA ENTIDADE SEM FINS LUCRATIVOS HÁ MAIS DE UM ANO,N,N
ATESTE - APROVAÇÃO DE DOCUMENTOS PELO REPRESENTANTE LEGAL ,N,S
ATESTE - AUTORIA DOCUMENTAÇÃO TÉCNICA REFORMA/OBRA,N,S
ATESTE PARECER JURÍDICO,S,N
ATO DE CRIAÇÃO DO CONSELHO MUNICIPAL DE SAÚDE,N,N
ATO ESPECIFICO DO DIRIGENTE MAXIMO,S,S
AUTORIZAÇÃO AMBIENTAL DE FUNCIONAMENTO (AAF),N,S
AUTORIZAÇÃO EXPRESSA DO TITULAR PARA REALIZAÇÃO DE REFORMA OU OBRA,N,S
AUTORIZAÇÃO FORMAL DO PROPRIETÁRIO DO TERRENO,N,S
AUTORRETRATO COM DOCUMENTO DE IDENTIFICAÇÃO,N,S
BOLETIM DE MEDIÇÃO,S,S
CADIN-MG,N,N
CAFIMP,N,N
CALCULO CONTRAPARTIDA MÍNIMA,N,N
CANCELAMENTO CONVÊNIO,S,S
CEPIM,N,N
CERTIDÃO DE REGULARIDADE PERANTE O FGTS,N,N
CERTIDÃO DO INSS - ATUALIZADA / PROVA DE INEXISTÊNCIA DÉBITO INSS / 03 MESES ANTERIORES,N,N
CERTIDÃO TCEMG CUMPRIMENTO LC FEDERAL Nº 101/00,N,N
CERTIDÃO TCEMG/ LIMITES /EDUCAÇÃO - SAÚDE,N,N
CERTIFICADO DE QUALIFICAÇÃO COMO OSCIP QUANDO FOR O CASO,N,N
CHECKLIST ANEXADO,S,S
CHEQUE,N,N
COMPROVAÇÃO CAPACIDADE TÉCNICA E PROFISSIONAL,N,S
COMPROVAÇÃO DA SITUAÇÃO POSSESSÓRIA DO IMÓVEL DA INSTALAÇÃO,N,S
COMPROVAÇÃO PODER DE REPRESENTAÇÃO DO SIGNATÁRIO (DIPLOMA),N,N
COMPROVANTE DE ABERTURA DE CONTA CORRENTE,N,N
COMPROVANTE DE DESPESA,N,N
COMPROVANTE DE EXECUÇÃO DA CONTRAPARTIDA NÃO FINANCEIRA,N,S
COMPROVANTE DE EXPERIÊNCIA PRÉVIA - CONVÊNIO/PARCERIA ANTERIOR,N,N
COMPROVANTE DE EXPERIÊNCIA PRÉVIA - OUTROS DOCUMENTOS,N,N
COMPROVANTE DE TRANSFERÊNCIA DA CONTRAPARTIDA FINANCEIRA,N,S
CONSIDERAÇÕES ADICIONAIS DA COORDENAÇÃO DO SIGCON-SAÍDA,S,N
CONTRATO DO CONSÓRCIO PÚBLICO,N,N
CONTRATO E RESPECTIVOS ADITIVOS,N,S
CONTRATO SOCIAL,N,N
CONTRATO CONVÊNIO DE SAÍDA INSTRUMENTOS SIMILARES FIRMADOS COM ÓRGÃOS E ENTIDADES DA ADMINISTRAÇÃO PÚBLICA DE QUAISQUER ENTES FEDERADOS,N,N
CÓPIA ATA ELEIÇÃO/CONSELHOS/DIRETORIA NOME DOS MEMBROS VIGÊNCIA E ASSINATURA,N,N
CÓPIA AUTENTICADA ADMINISTRATIVAMENTE,S,N
CÓPIA AUTENTICADA CARTÓRIO,N,N
CÓPIA AUTENTICADA DA ATA DE APROVAÇÃO DA CELEBRAÇÃO DO CONVÊNIO DE SAÍDA ASSINADA PELA MAIORIA ABSOLUTA DOS MEMBROS DOS ÓRGÃOS DIRIGENTES,N,N
CÓPIA AUTENTICADA DO ATO DE DESIGNIÇÃO DO DIRIGENTE DO ÓRGÃO OU ENTIDADE COM A DATA DE PUBLICAÇÃO,N,N
CÓPIA CARTÃO DE INSCRIÇÃO NO CNPJ ATUAL/ REVALIDADO,N,N
CÓPIA CI E CPF DO DIRIGENTE MÁXIMO OU REPRESENTANTE LEGAL,N,N
CÓPIA CI E CPF DO SECRETÁRIO MUNICIPAL DE SAÚDE,N,N
CÓPIA DA ATA DE FUNDAÇÃO (REGISTRADA EM CARTÓRIO),N,N
CÓPIA DA ATA REUNIÃO DE APROVAÇÃO DO ESTATUTO (REGISTRADA EM CARTÓRIO),N,N
CÓPIA DA CARTEIRA DE IDENTIDADE DO PREFEITO ATUAL,N,N
CÓPIA DA LEI DE UTILIDADE PÚBLICA ESTADUAL FEDERAL OU MUNICIPAL,N,N
CÓPIA DA PUBLICAÇÃO DA LEI OU DECRETO CONFERINDO TÍTULO DE UTILIDADE PÚBLICA,N,N
CÓPIA DA PUBLICAÇÃO DE NOTICIÁRIOS DE CIRCULAÇÃO NO BAIRRO OU NO MUNICÍPIO DE ATUAÇÃO DA ENTIDADE,N,N
CÓPIA DA PUBLICAÇÃO DO CONTRATO E ADITIVOS,N,N
CÓPIA DIGITALIZADA DO COMPROVANTE DE ENDEREÇO,N,N
CÓPIA DO CPF DO PREFEITO ATUAL,N,N
CÓPIA DO TERMO DE POSSE DO SECRETÁRIO MUNICIPAL DE SAÚDE,N,N
CÓPIA REFERENTE AO TERMO DE POSSE DO PREFEITO ATUAL,N,N
CÓPIA SIMPLES,N,N
CRONOGRAMA FÍSICO-FINANCEIRO,N,S
CURRÍCULOS EQUIPE EXECUÇÃO,N,S
DECLARAÇÃO ÁREA PRIVADA OCUPADA SOB PENA DO ART. 299 DO CÓDIGO PENAL,N,S
DECLARAÇÃO ATENDIMENTO EXIGÊNCIAS DE ACESSIBILIDADE,N,S
DECLARAÇÃO CONTRAPARTIDA FINANCEIRA PARA ALTERAÇÃO,N,S
DECLARAÇÃO COTRAPARTIDA NÃO FINANCEIRA,N,S
DECLARAÇÃO DA EMPRESA CONTRATADA SOBRE A ALTERAÇÃO,N,S
DECLARAÇÃO DA ENTIDADE ASSINADA PELO RESPONSÁVEL LEGAL DE QUE DIFERENÇA A MAIOR SERÁ DE RESPONSABILIDADE EXCLUSIVA DA ENTIDADE ,N,S
DECLARAÇÃO DE AUTENTICIDADE,N,S
DECLARAÇÃO DE AUTENTICIDADE DO DOCUMENTO ANEXADO (ASSESSOR PARLAMENTAR),S,S
DECLARAÇÃO DE AUTENTICIDADE DOCUMENTOS ALTERAÇÃO,N,S
DECLARAÇÃO DE DISPONABILIDADE ORÇAMENTÁRIA,S,N
DECLARAÇÃO DE DOMÍNIO PÚBLICO,N,S
DECLARAÇÃO DE DOMÍNIO PÚBLICO DO IMÓVEL (EMITIDO PELA PREFEITURA),N,S
DECLARAÇÃO DE EXPERIÊNCIA NAS ATIVIDADES RELACIONADAS AO OBJETO,N,S
DECLARAÇÃO DE INSTALAÇÕES EXISTENTES OU CONTRATAÇÃO PARA ADEQUAÇÃO,N,S
DECLARAÇÃO DE NÃO ALTERAÇÃO DO NÚCLEO DA FINALIDADE,S,S
DECLARAÇÃO DE NÃO CONTRATAÇÃO DE INADIMPLENTE,N,S
DECLARAÇÃO DE NÃO CONTRATAÇÃO DE INADIMPLENTE PARA ALTERAÇÃO,N,S
DECLARAÇÃO DE NÃO CONTRATAÇÃO DE SERVIDOR PÚBLICO OU DE PESSOAS CONDENADAS POR CRIME ELEITORAL OU CONTRA ADM PÚBLICA,N,S
DECLARAÇÃO DE OCUPAÇÃO DA ÁREA DA INSTALAÇÃO,N,S
DECLARAÇÃO DE RECURSOS REFERENTES À CONTRAPARTIDA FINANCEIRA,N,S
DECLARAÇÃO DE SANEAMENTO DE RESSALVAS,S,S
DECLARAÇÃO DIRIGENTES OSC ART. 39 III LEI 13.019/2014,N,S
DECLARAÇÃO LIMITES DÍVIDAS / OPER. CRÉDITO ANTECIPAÇÃO RECEITA RESTOS A PAGAR SE HOUVER,N,N
DECLARAÇÃO MOVIMENTAÇÃO DE RECURSOS CONTA ÚNICA DO TESOURO,N,S
DECLARAÇÃO PREFEITO/INSTITUIÇÃO/ARRECADAÇÃO/TRIBUTOS CF,N,N
DECLARAÇÃO QUITAÇÃO/TRIBUTOS/EMPRÉST./FINANC./PREST. CONTAS RECURSOS RECEBIDOS ENTE TRANSFERIDOR,N,N
DECLARAÇÃO VEDAÇÕES ART. 39 LEI 13.019/2014,N,S
DECLARAÇÕES FIRMADAS POR CONSELHOS DE POLÍTICAS PÚBLICAS OU SECRETARIAS MUNICIPAIS,N,S
DEMAIS DOCUMENTOS DE CELEBRAÇÃO,S,S
DEMONSTRATIVO DETALHADO ECONOMIA ALCANÇADA,S,S
DESPACHO,S,S
DETALHAMENTO DO PROJETO DO EVENTO,N,S
DETALHAMENTO DO PROJETO DO SERVIÇO,N,S
DIRETÓRIO PROECM,N,N
DOCUMENTAÇÃO COMPLEMENTAR,S,S
DOCUMENTAÇÃO COMPROBATÓRIA DA JUSTIFICATIVA PARA ALTERAÇÃO,S,S
DOCUMENTO DE COMPROVAÇÃO DA SITUAÇÃO POSSESSÓRIA DO IMÓVEL,N,S
DOCUMENTO DE IDENTIFICAÇÃO CIVIL COM CPF,N,S
DOCUMENTO DE IDENTIFICAÇÃO CIVIL COM CPF VERSO,N,N
DOCUMENTO EM BRANCO,S,S
DOCUMENTO MODELO,S,S
DOCUMENTO NATO-DIGITAL,S,S
DOCUMENTO ORIGINAL,S,S
DOCUMENTO REGULARIDADE CAGEC,N,N
DOCUMENTO SOBRE A ESTRUTURA FÍSICADISPONIBILIZAÇÃO DE EQUIPAMENTOS E MATERIAIS,N,S
DOCUMENTOS DIVERSOS,S,S
DOCUMENTOS INTERNOS,S,N
EMPENHO ,S,N
EQUIPE DE TRABALHO,N,S
ESTATUTO,N,N
ESTUDO DE IMPACTO AMBIENTAL E RELATÓRIO DE IMPACTO AMBIENTAL (EIA/RIMA),N,S
EXTRATO CONTA APLICAÇÃO/POUPANÇA,N,N
EXTRATO CONTA CORRENTE,N,N
EXTRATO DA JUSTIFICATIVA DE DISPENSA DE CHAMAMENTO PÚBLICO,N,N
EXTRATO DA JUSTIFICATIVA DE INEXIGIBILIDADE DE CHAMAMENTO PÚBLICO,N,N
EXTRATO DE CONVÊNIO,N,N
EXTRATO DO INSTRUMENTO GERADO PELO SISTEMA,N,N
IMAGEM DA FISCALIZAÇÃO,N,N
IMAGEM DA FISCALIZAÇÃO,N,N
IMAGEM DO MONITORAMENTO,N,N
INSTRUMENTO TRAMITADO FORA DO SIGCON,N,N
ITEM CHECKLIST,S,S
JUSTIFICATIVA DE DISPENSA DE CHAMAMENTO PÚBLICO,S,N
JUSTIFICATIVA DE INEXIGIBILIDADE DE CHAMAMENTO PÚBLICO,S,N
JUSTIFICATIVA TÉCNICA PARA ALTERAÇÃO DA REFORMA OU OBRA,S,S
LAYOUT DA PLACA DA OBRA,N,N
LAYOUT DA PLACA OU ADESIVO DE IDENTIFICAÇÃO DO BEM DE ACORDO COM AS ESPECIFICAÇÕES DO MANUAL DE IDENTIDADE VISUAL DO GOVERNO DE MINAS,N,S
LAYOUT DOS BENS,N,S
LEGISLAÇÃO DE COMPETÊNCIAS DA ENTIDADE,N,N
LEI DE CRIAÇÃO DA ENTIDADE,N,N
LEI DE CRIAÇÃO DO FUNDO MUNICIPAL DE SAÚDE,N,N
LEI OU DECRETO DE CRIAÇÃO,N,N
LICENÇAS PRÉVIA (LP) DE INSTALAÇÃO (LI) E DE OPERAÇÃO (LO),N,S
LIQUIDAÇÃO,S,N
MANIFESTAÇÃO DA ÁREA TÉCNICA DE ENGENHARIA,S,N
MANIFESTAÇÃO DA ÁREA TÉCNICA DE PRESTAÇÃO DE CONTAS,S,N
MANIFESTAÇÃO DA ÁREA TÉCNICA FINALÍSTICA,S,N
MEMORANDO,S,S
MEMÓRIA DE CÁLCULO - UTILIZAÇÃO BENS E SERVIÇOS CONTRAPARTIDA NÃO FINANCEIRA,N,S
MEMÓRIA DE CÁLCULO DA CONTRAPARTIDA NÃO-FINANCEIRA,N,S
MEMÓRIA DE CÁLCULO DOS QUANTITATIVOS FÍSICOS DA PLANILHA ORÇAMENTÁRIA DE CUSTOS,N,S
MEMORIAL DESCRITIVO DE PROJETO BÁSICO OU EXECUTIVO,N,S
MINUTA DE ALTERAÇÃO,S,S
MINUTA DO CONVÊNIO,S,S
MINUTA DO TERMO DE COLABORAÇÃO,S,N
MINUTA DO TERMO DE FOMENTO,S,N
MODELO DOCUMENTO SIGCON,S,S
NOTÍCIA VINCULADA SOBRE AS ATIVIDADES DESENVOLVIDAS,N,N
NOVO RELATÓRIO FOTOGRÁFICO,S,S
OFÍCIO,S,S
OFÍCIO COM JUSTIFICATIVA PARA ALTERAÇÃO,S,S
OFÍCIO DE DILIGÊNCIA,S,N
OFÍCIO PARA CÂMARA MUNICIPAL,S,N
ORÇAMENTO DE ITEM A SER ADQUIRIDO ,N,S
ORÇAMENTO ITEM EVENTO,N,S
ORÇAMENTO ITEM SERVIÇO,N,S
ORDEM DE PAGAMENTO,S,N
PDF GERADO INTERNAMENTE ASSINATURA DIGITAL,S,S
PDF GERADO INTERNAMENTE ASSINATURA ELETRÔNICA,S,S
PLANILHA DE DETALHAMENTO DE DESPESAS DE PESSOAL,N,S
PLANILHA DETALHADA DE ITENS E CUSTOS DO EVENTO,N,S
PLANILHA DETALHADA DE ITENS E CUSTOS DO SERVIÇO,N,S
PLANILHA DETALHADA DE ITENS E CUSTOS DOS BENS A SEREM ADQUIRIDOS,N,S
PLANILHA DETALHADA DE NOVOS ITENS E CUSTOS DO EVENTO,N,S
PLANILHA DETALHADA DE NOVOS ITENS E CUSTOS DO SERVIÇO,N,S
PLANILHA DETALHADA DE NOVOS ITENS E CUSTOS DOS BENS A SEREM ADQUIRIDOS,N,S
PLANILHA ORÇAMENTÁRIA DE CUSTOS,N,S
PLANO DE TRABALHO,S,S
PLANTA DE LOCALIZAÇÃO/CROQUI,N,S
PLANTA DE LOCALIZAÇÃO/CROQUI DO LOCAL DA INSTALAÇÃO,N,S
PRÊMIO LOCAL OU INTERNACIONAL RELACIONADO A ATIVIDADE DESENVOLVIDA,N,N
PROCESSO DO SEI,N,N
PROJETO APROVADO PELO IPHANIEPHA OU INSTITUTO MUNICIPAL,N,S
PROJETO BÁSICO OU EXECUTIVO,N,S
PROPOSTA DE ALTERAÇÃO,S,S
PROPOSTA DE PLANO DE TRABALHO,S,S
PRORROGAÇÃO DE OFÍCIO,S,N
PROTOCOLO DE INTENÇÕES DO CONSÓRCIO,S,S
PUBLICAÇÃO DA ALTERAÇÃO,N,N
PUBLICAÇÃO DO INSTRUMENTO JURÍDICO,N,N
PUBLICAÇÃO PESQUISA OU OUTRA FORMA DE PRODUÇÃO DE CONHECIMENTO,N,N
QRCODE,N,N
QUADRO DE DETALHAMENTO DA DESPESA (QDD),N,S
REGIMENTO INTERNO,N,N
REGISTRO DO IMÓVEL CERTIDÃO DE INTEIRO TEOR OU CERTIDÃO DE ÔNUS REAIS DO IMÓVEL,N,S
REGISTRO DO IMÓVEL CERTIDÃO DE INTEIRO TEOR OU CERTIDÃO DE ÔNUS REAIS DO IMÓVEL DA INSTALAÇÃO,N,S
RELAÇÃO DAS OSCs EXECUTANTES,S,N
RELAÇÃO DE PAGAMENTOS ,N,S
RELATÓRIO DE ATIVIDADES DESENVOLVIDAS,S,S
RELATÓRIO DE FISCALIZAÇÃO DE CONVÊNIO,S,N
RELATÓRIO DE MONITORAMENTO DE CONVÊNIO,S,S
RELATÓRIO DE PESQUISA DE SATISFAÇÃO ,S,N
RELATÓRIO DE VISITA TÉCNICA IN LOCO,S,S
RELATÓRIO FOTOGRÁFICO COLORIDO,S,S
RELATÓRIO TÉCNICO DE MONITORAMENTO E AVALIAÇÃO,S,N
RESOLUÇÃO PARA DESIGNAÇÃO DE COMISSÃO DE MONITORAMENTO E AVALIAÇÃO,S,N
RESPONSABILIDADE TÉCNICA PROJETOS LEVANTAMENTOS E CUSTOS - ART/CREA ou RRT/CAU,N,S
RESPONSABILIDADE TÉCNICA RELATIVA À EXECUÇÃO DA REFORMA OU OBRA - ART/CREA ou RRT/CAU,N,S
RESPONSABILIDADE TÉCNICA RELATIVA À FISCALIZAÇÃO - ART/CREA ou RRT/CAU,N,S
TERMO ADITIVO,S,S
TERMO ATUAÇÃO EM REDE,S,S
TERMO DE COLABORAÇÃO,S,S
TERMO DE COMPROMISSO ASSINADO PELO REPRESENTANTE LEGAL E PELO RESPONSÁVEL TÉCNICO PARA MONITORAMENTO DE OBRA,N,S
TERMO DE COMPROMISSO DE ATENDIMENTO LEGISLAÇÃO AMBIENTAL,N,S
TERMO DE DECLARAÇÃO DE CONCORDÂNCIA E VERACIDADE,N,S
TERMO DE DESIGNAÇÃO DO GESTOR DE PARCERIA,S,N
TERMO DE FOMENTO,S,S
TERMO DE HOMOLOGAÇÃO,S,N
TERMO DE POSSE,N,N
TERMO DO CONVÊNIO,S,S
TIPO N/A,N,N
